source,program,program_type,marker
hierarchy:colon_tme,Treg,hierarchy,FOXP3
hierarchy:colon_tme,Treg,hierarchy,TIGIT
hierarchy:colon_tme,Treg,hierarchy,CTLA4
hierarchy:colon_tme,B cell,hierarchy,MS4A1
hierarchy:colon_tme,B cell,hierarchy,CD79A
hierarchy:colon_tme,B cell,hierarchy,CD74
hierarchy:colon_tme,B cell,hierarchy,CD79B
hierarchy:colon_tme,Plasma cell,hierarchy,MZB1
hierarchy:colon_tme,Plasma cell,hierarchy,JCHAIN
hierarchy:colon_tme,Plasma cell,hierarchy,SDC1
hierarchy:colon_tme,Plasma cell,hierarchy,XBP1
hierarchy:colon_tme,Plasma cell,hierarchy,IGKC
hierarchy:colon_tme,NK cell,hierarchy,KLRD1
hierarchy:colon_tme,NK cell,hierarchy,GNLY
hierarchy:colon_tme,NK cell,hierarchy,FCGR3A
hierarchy:colon_tme,Myeloid,hierarchy,LYZ
hierarchy:colon_tme,Myeloid,hierarchy,TYMP
hierarchy:colon_tme,Myeloid,hierarchy,FCER1G
hierarchy:colon_tme,Myeloid,hierarchy,CTSS
hierarchy:colon_tme,Myeloid,hierarchy,SAT1
hierarchy:colon_tme,Macrophage,hierarchy,C1QA
hierarchy:colon_tme,Macrophage,hierarchy,C1QB
hierarchy:colon_tme,Macrophage,hierarchy,APOE
hierarchy:colon_tme,Monocyte,hierarchy,S100A8
hierarchy:colon_tme,Monocyte,hierarchy,S100A9
hierarchy:colon_tme,Monocyte,hierarchy,FCN1
hierarchy:colon_tme,Dendritic cell,hierarchy,FCER1A
hierarchy:colon_tme,Dendritic cell,hierarchy,CST3
hierarchy:colon_tme,Dendritic cell,hierarchy,CLEC10A
hierarchy:colon_tme,Mast cell,hierarchy,TPSAB1
hierarchy:colon_tme,Mast cell,hierarchy,TPSB2
hierarchy:colon_tme,Mast cell,hierarchy,KIT
hierarchy:colon_tme,Mast cell,hierarchy,CPA3
hierarchy:colon_tme,Mast cell,hierarchy,HDC
hierarchy:colon_tme,Neutrophil,hierarchy,FCGR3B
hierarchy:colon_tme,Neutrophil,hierarchy,CXCR2
hierarchy:colon_tme,Neutrophil,hierarchy,CSF3R
program_set:tumor_colon,core_transformation,flat_program,KRT17
program_set:tumor_colon,core_transformation,flat_program,TACSTD2
program_set:tumor_colon,core_transformation,flat_program,CLDN4
program_set:tumor_colon,core_transformation,flat_program,MSLN
program_set:tumor_colon,core_transformation,flat_program,S100A14
program_set:tumor_colon,core_transformation,flat_program,LCN2
program_set:tumor_colon,core_transformation,flat_program,CEACAM5
program_set:tumor_colon,core_transformation,flat_program,PROM1
program_set:tumor_colon,epithelial_tumor_stress,flat_program,KRT6A
program_set:tumor_colon,epithelial_tumor_stress,flat_program,KRT6B
program_set:tumor_colon,epithelial_tumor_stress,flat_program,SERPINB3
program_set:tumor_colon,epithelial_tumor_stress,flat_program,SERPINB4
program_set:tumor_colon,epithelial_tumor_stress,flat_program,MMP7
program_set:tumor_colon,stemlike_transformation,flat_program,CD44
program_set:tumor_colon,stemlike_transformation,flat_program,ALCAM
program_set:tumor_colon,stemlike_transformation,flat_program,MSI1
program_set:tumor_colon,stemlike_transformation,flat_program,SMOC2
program_set:tumor_colon,stemlike_transformation,flat_program,MYC
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,VIM
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,FN1
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,ITGA5
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,ITGB1
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,ITGA6
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,ZEB1
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,ZEB2
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,SNAI1
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,SNAI2
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,TWIST1
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,LAMB3
program_set:tumor_colon,emt_mesenchymal_transition,flat_program,MMP14
program_set:tumor_colon,cycling,flat_program,TOP2A
program_set:tumor_colon,cycling,flat_program,UBE2C
program_set:tumor_colon,cycling,flat_program,PCNA
program_set:tumor_colon,cycling,flat_program,TYMS
program_set:tumor_colon,cycling,flat_program,BIRC5
program_set:tumor_colon,stress_ifn,flat_program,STAT1
program_set:tumor_colon,stress_ifn,flat_program,ISG15
program_set:tumor_colon,stress_ifn,flat_program,IFIT1
program_set:tumor_colon,stress_ifn,flat_program,IFIT3
program_set:tumor_colon,stress_ifn,flat_program,MX1
program_set:tumor_colon,stress_ifn,flat_program,OAS1
program_set:tumor_colon,wnt_stem_like,flat_program,AXIN2
program_set:stress,hypoxia,flat_program,CA9
program_set:stress,hypoxia,flat_program,VEGFA
program_set:stress,hypoxia,flat_program,SLC2A1
program_set:stress,hypoxia,flat_program,LDHA
program_set:stress,hypoxia,flat_program,PGK1
program_set:stress,hypoxia,flat_program,ENO1
program_set:stress,ifn_response,flat_program,IRF7
program_set:stress,unfolded_protein_response,flat_program,HSPA5
program_set:stress,unfolded_protein_response,flat_program,DDIT3
program_set:stress,unfolded_protein_response,flat_program,ATF3
program_set:stress,unfolded_protein_response,flat_program,ATF4
